row_id,cipher,rounds,source_eval,sample_id,attack_family
AES|1|AES_1r_1.eval|1,AES,1,AES_1r_1.eval,1,
AES|1|AES_1r_1.eval|2,AES,1,AES_1r_1.eval,2,
AES|1|AES_1r_1.eval|3,AES,1,AES_1r_1.eval,3,
AES|1|AES_1r_1.eval|4,AES,1,AES_1r_1.eval,4,
AES|1|AES_1r_1.eval|5,AES,1,AES_1r_1.eval,5,
AES|1|AES_1r_2.eval|1,AES,1,AES_1r_2.eval,1,
AES|1|AES_1r_2.eval|2,AES,1,AES_1r_2.eval,2,
AES|1|AES_1r_2.eval|3,AES,1,AES_1r_2.eval,3,
AES|1|AES_1r_2.eval|4,AES,1,AES_1r_2.eval,4,
AES|1|AES_1r_2.eval|5,AES,1,AES_1r_2.eval,5,
AES|2|AES_2r_1.eval|1,AES,2,AES_2r_1.eval,1,
AES|2|AES_2r_1.eval|2,AES,2,AES_2r_1.eval,2,
AES|2|AES_2r_1.eval|3,AES,2,AES_2r_1.eval,3,
AES|2|AES_2r_1.eval|4,AES,2,AES_2r_1.eval,4,
AES|2|AES_2r_1.eval|5,AES,2,AES_2r_1.eval,5,
AES|2|AES_2r_2.eval|1,AES,2,AES_2r_2.eval,1,
AES|2|AES_2r_2.eval|3,AES,2,AES_2r_2.eval,3,
AES|2|AES_2r_2.eval|4,AES,2,AES_2r_2.eval,4,
AES|3|AES_3r_1.eval|1,AES,3,AES_3r_1.eval,1,
AES|3|AES_3r_1.eval|2,AES,3,AES_3r_1.eval,2,
AES|3|AES_3r_1.eval|3,AES,3,AES_3r_1.eval,3,
AES|3|AES_3r_1.eval|4,AES,3,AES_3r_1.eval,4,
AES|3|AES_3r_1.eval|5,AES,3,AES_3r_1.eval,5,
AES|3|AES_3r_2.eval|1,AES,3,AES_3r_2.eval,1,
AES|3|AES_3r_2.eval|2,AES,3,AES_3r_2.eval,2,
AES|3|AES_3r_2.eval|3,AES,3,AES_3r_2.eval,3,
AES|3|AES_3r_2.eval|4,AES,3,AES_3r_2.eval,4,
AES|3|AES_3r_2.eval|5,AES,3,AES_3r_2.eval,5,
DES|1|DES_1r_1.eval|1,DES,1,DES_1r_1.eval,1,
DES|1|DES_1r_1.eval|2,DES,1,DES_1r_1.eval,2,
DES|1|DES_1r_1.eval|3,DES,1,DES_1r_1.eval,3,
DES|1|DES_1r_1.eval|4,DES,1,DES_1r_1.eval,4,
DES|1|DES_1r_1.eval|5,DES,1,DES_1r_1.eval,5,
DES|1|DES_1r_1.eval|6,DES,1,DES_1r_1.eval,6,
DES|1|DES_1r_1.eval|7,DES,1,DES_1r_1.eval,7,
DES|1|DES_1r_1.eval|8,DES,1,DES_1r_1.eval,8,
DES|1|DES_1r_1.eval|9,DES,1,DES_1r_1.eval,9,
DES|1|DES_1r_1.eval|10,DES,1,DES_1r_1.eval,10,
DES|2|DES_2r_1.eval|1,DES,2,DES_2r_1.eval,1,
DES|2|DES_2r_1.eval|2,DES,2,DES_2r_1.eval,2,
DES|2|DES_2r_1.eval|3,DES,2,DES_2r_1.eval,3,
