row_id,cipher,rounds,source_eval,sample_id,attack_family
AES|1|AES_1r_1.eval|1,AES,1,AES_1r_1.eval,1,"algebraic, brute force"
AES|1|AES_1r_1.eval|2,AES,1,AES_1r_1.eval,2,"algebraic, brute force"
AES|1|AES_1r_1.eval|3,AES,1,AES_1r_1.eval,3,"algebraic, brute force"
AES|1|AES_1r_1.eval|4,AES,1,AES_1r_1.eval,4,"algebraic, brute force"
AES|1|AES_1r_1.eval|5,AES,1,AES_1r_1.eval,5,"algebraic, brute force"
AES|1|AES_1r_2.eval|1,AES,1,AES_1r_2.eval,1,"algebraic, brute force"
AES|1|AES_1r_2.eval|2,AES,1,AES_1r_2.eval,2,"algebraic, brute force"
AES|1|AES_1r_2.eval|3,AES,1,AES_1r_2.eval,3,"algebraic, brute force"
AES|1|AES_1r_2.eval|4,AES,1,AES_1r_2.eval,4,"algebraic, brute force"
AES|1|AES_1r_2.eval|5,AES,1,AES_1r_2.eval,5,"algebraic, brute force"
AES|2|AES_2r_1.eval|1,AES,2,AES_2r_1.eval,1,"SAT-style, differential, brute force"
AES|2|AES_2r_1.eval|2,AES,2,AES_2r_1.eval,2,"SAT-style, differential, MITM"
AES|2|AES_2r_1.eval|3,AES,2,AES_2r_1.eval,3,"SAT-style, differential, MITM, brute force"
AES|2|AES_2r_1.eval|4,AES,2,AES_2r_1.eval,4,"SAT-style, MITM, brute force"
AES|2|AES_2r_1.eval|5,AES,2,AES_2r_1.eval,5,"MITM, differential, brute force"
AES|2|AES_2r_2.eval|1,AES,2,AES_2r_2.eval,1,"differential, MITM, brute force"
AES|2|AES_2r_2.eval|3,AES,2,AES_2r_2.eval,3,"differential, MITM, brute force"
AES|2|AES_2r_2.eval|4,AES,2,AES_2r_2.eval,4,"differential, brute force"
AES|3|AES_3r_1.eval|1,AES,3,AES_3r_1.eval,1,"SAT-style, algebraic, brute force"
AES|3|AES_3r_1.eval|2,AES,3,AES_3r_1.eval,2,"SAT-style, algebraic"
